Symbol,Name,Exchange,Industry,SIC Description
AAN,Aarons Holdings Company,NYSE,Consumer Services - Misc,"SIC-7359 Services-Equipment Rental & Leasing, NEC"
AAOI,Applied Optoelect,NASDAQ,Electronics - Semiconductors,SIC-3674 Semiconductors & Related Devices
AAT,American Assets Trust,NYSE,REIT - Equity Trust Retail,SIC-6798 Real Estate Investment Trusts
ABCB,Ameris Bancorp,NYSE,Banks - Southeast,SIC-6022 State Commercial Banks
ABG,Asbury Automotive Group Inc,NYSE,Retail - Wsale Auto & Trucks,SIC-5500 Retail-Auto Dealers & Gasoline Stations
ABM,ABM Industries Inc,NYSE,Building - Maint & Service,SIC-7340 Services-To Dwellings & Other Buildings
ABOS,Acumen Pharmaceuticals Inc,NASDAQ,Medical - Biomedical,"SIC-2836 Biological Products, (No Disgnostic Substanc"
ABR,Arbor Realty Trust,NYSE,REIT - Mortgage Trusts,SIC-6798 Real Estate Investment Trusts
ABSI,Absci Corp,NASDAQ,Medical - Biomedical,SIC-8731 Services-Commercial Physical & Biological Re
ABUS,Arbutus Biopharma Corp,NASDAQ,Medical - Biomedical,SIC-2834 Pharmaceutical Preparations
ACA,Arcosa Inc,NYSE,Building & Construction - Misc,SIC-3440 Fabricated Structural Metal Products
ACAD,Acadia Pharmaceutica,NASDAQ,Medical - Biomedical,SIC-2834 Pharmaceutical Preparations
ACCD,Accolade Inc,NASDAQ,Technology Services,"SIC-7389 Services-Business Services, NEC"
ACCO,Acco Brands Corp,NYSE,Office Supply & Forms,"SIC-2780 Blankbooks, Looseleaf Binders & Bookbindg &"
ACDC,Profrac Holding Corp. Cl A,NASDAQ,Other Alt Energy,"SIC-1389 Oil & Gas Field Services, NEC"
ACEL,Accel Entertainment Inc,NYSE,Gaming,SIC-7900 Services-Amusement & Recreation Services
ACHR,Archer Aviation Inc,NYSE,Aerospace - Defense,SIC-3721 Aircraft
ACHV,Achieve Life Sciences Inc,NASDAQ,Medical - Drugs,SIC-2835 In Vitro & In Vivo Diagnostic Substances
ACIC,American Coastal Insurance Corp,NASDAQ,Insurance - Proprty & Casualty,"SIC-6331 Fire, Marine & Casualty Insurance"
ACIW,Aci Worldwide Inc,NASDAQ,Computer - Software,SIC-7372 Services-Prepackaged Software
ACLS,Axcelis Tech Inc,NASDAQ,Electrical - Manufacturing,"SIC-3559 Special Industry Machinery, NEC"
ACLX,Arcellx Inc,NASDAQ,Medical - Biomedical,"SIC-2836 Biological Products, (No Disgnostic Substanc"
ACMR,Acm Research Inc,NASDAQ,Semi-Eqpt Material Services,"SIC-3559 Special Industry Machinery, NEC"
ACNB,Acnb Corp,NASDAQ,Banks - Southwest,SIC-6022 State Commercial Banks
ACRE,Ares Commercial Real Estate Cor,NYSE,REIT - Mortgage Trusts,SIC-6798 Real Estate Investment Trusts
ACRV,Acrivon Therapeutics Inc,NASDAQ,Medical - Drugs,SIC-2834 Pharmaceutical Preparations
ACT,Enact Holdings Inc,NASDAQ,Insurance - Multi Line,"SIC-6411 Insurance Agents, Brokers & Service"
ACTG,Acacia Res-Acacia,NASDAQ,Business Services,SIC-6794 Patent Owners & Lessors
ACVA,Acv Auctions Inc Cl A,NASDAQ,Internet Commerce,"SIC-7389 Services-Business Services, NEC"
ADCT,Adc Therapeutics Sa,NYSE,Medical - Biomedical,SIC-2834 Pharmaceutical Preparations
ADEA,Adeia Inc,NASDAQ,Technology Services,SIC-4841 Cable & Other Pay Television Services
ADMA,Adma Biologics,NASDAQ,Medical - Biomedical,"SIC-2836 Biological Products, (No Disgnostic Substanc"
ADNT,Adient Plc,NYSE,Auto - Truck Original Parts,SIC-3714 Motor Vehicle Parts & Accessories
ADPT,Adaptive Biotechnologies Corp,NASDAQ,Medical - Biomedical,"SIC-2836 Biological Products, (No Disgnostic Substanc"
ADTN,Adtran Holdings Inc,NASDAQ,Technology Services,SIC-3661 Telephone & Telegraph Apparatus
ADUS,Addus Homecare Corp,NASDAQ,Medical - Outpatient & Hm Care,SIC-8082 Services-Home Health Care Services
ADV,Advantage Solutions Inc,NASDAQ,Business Information,"SIC-7389 Services-Business Services, NEC"
ADVM,Adverum Biotechnologies Inc,NASDAQ,Medical - Biomedical,"SIC-2836 Biological Products, (No Disgnostic Substanc"
AEHR,Aehr Test Systems,NASDAQ,Electronics - Measuring Inst,SIC-3825 Instruments For Meas & Testing of Electricit
AEIS,Advanced Energy,NASDAQ,Semi-Eqpt Wafer Fabrication,"SIC-3679 Electronic Components, NEC"
AEO,American Eagle Outfitters,NYSE,Retail - Apparel & Shoes,SIC-5651 Retail-Family Clothing Stores
AESI,Atlas Energy Solutions Inc Cl A,NYSE,Oil - US Integrated,SIC-1311 Crude Petroleum & Natural Gas
AEVA,Aeva Technologies Inc,NYSE,Auto - Truck Original Parts,SIC-3714 Motor Vehicle Parts & Accessories
AEYE,Audioeye Inc,NASDAQ,Internet - Software,SIC-7372 Services-Prepackaged Software
AFCG,Afc Gamma Inc,NASDAQ,REIT - Mortgage Trusts,SIC-6500 Real Estate
AFRI,Forafric Global Plc,NASDAQ,Agriculture Operations,SIC-2040 Grain Mill Products
AGEN,Agenus Inc,NASDAQ,Medical - Biomedical,"SIC-2836 Biological Products, (No Disgnostic Substanc"
AGIO,Agios Pharmaceuticals,NASDAQ,Medical Products,SIC-2834 Pharmaceutical Preparations
AGL,Agilon Health Inc,NYSE,Medical Services,"SIC-8090 Services-Misc Health & Allied Services, NEC"
AGM,Federal Agricultural Mortgage Corp,NYSE,Finance - Mortgage & Rel Svs,SIC-6111 Federal & Federally-Sponsored Credit Agencie
AGS,Playags Inc,NYSE,Gaming,SIC-3990 Miscellaneous Manufacturing Industries
AGX,Argan Inc,NYSE,Building & Construction - Misc,SIC-1700 Construction - Special Trade Contractors
AGYS,Agilysys Inc,NASDAQ,Computer - Integrated Systems,SIC-7373 Services-Computer Integrated Systems Design
AHCO,Adapthealth Corp Cl. A,NASDAQ,Medical Products,SIC-8082 Services-Home Health Care Services
AHH,Armada Hoffler Properties Inc,NYSE,REIT - Equity Trust Resident,SIC-6500 Real Estate
AHR,American Healthcare REIT Inc,NYSE,REIT - Equity Trust Other,SIC-6798 Real Estate Investment Trusts
AI,C3.Ai Inc Cl A,NYSE,IT Services,SIC-6159 Miscellaneous Business Credit Institution
AILE,Ilearningengines Inc,NASDAQ,IT Services,SIC-7372 Services-Prepackaged Software
AIN,Albany International Corp,NYSE,Textile - Products,"SIC-2221 Broadwoven Fabric Mills, Man Made Fiber & Si"
AIOT,Powerfleet Inc,NASDAQ,Transportation - Services,"SIC-3669 Communications Equipment, NEC"
AIP,Arteris Inc,NASDAQ,Internet - Software,SIC-3674 Semiconductors & Related Devices
AIR,AAR Corp,NYSE,Aerospace - Defense Equipment,SIC-3720 Aircraft & Parts
AIRS,Airsculpt Technologies Inc,NASDAQ,Technology Services,SIC-8011 Services-Offices & Clinics of Doctors of Med
AISP,Airship Ai Holdings Inc,NASDAQ,Technology Services,SIC-7372 Services-Prepackaged Software
AIT,Applied Industrial Technologies,NYSE,Machinery - General Industrial,"SIC-5080 Wholesale-Machinery, Equipment & Supplies"
AIV,Apartment Investment and Management,NYSE,REIT - Equity Trust Resident,SIC-6798 Real Estate Investment Trusts
AKBA,Akebia Therapeutics,NASDAQ,Medical - Drugs,SIC-2834 Pharmaceutical Preparations
AKR,Acadia Realty Trust,NYSE,REIT - Equity Trust Retail,SIC-6798 Real Estate Investment Trusts
AKRO,Akero Therapeutics Inc,NASDAQ,Medical - Biomedical,SIC-2834 Pharmaceutical Preparations
AKYA,Akoya Biosciences Inc,NASDAQ,Medical - Biomedical,SIC-3826 Laboratory Analytical Instruments
ALCO,Alico Inc,NASDAQ,Agriculture Operations,SIC-0100 Agricultural Production - Crops
ALDX,Aldeyra Therapeu,NASDAQ,Medical - Drugs,SIC-2834 Pharmaceutical Preparations
ALE,Allete Inc,NYSE,Utility - Electric Power,SIC-4931 Electric & Other Services Combined
ALEC,Alector Inc,NASDAQ,Medical - Biomedical,"SIC-2836 Biological Products, (No Disgnostic Substanc"
ALEX,Alexander and Baldwin Inc,NYSE,REIT - Equity Trust Other,SIC-6798 Real Estate Investment Trusts
ALG,Alamo Group,NYSE,Machinery - Farm,SIC-3523 Farm Machinery & Equipment
ALGT,Allegiant Travel Com,NASDAQ,Transportation - Airline,"SIC-4512 Air Transportation, Scheduled"
ALHC,Alignment Healthcare Inc,NASDAQ,Medical Services,SIC-6324 Hospital & Medical Service Plans
ALIT,Alight Inc Cl A,NYSE,Internet - Software,"SIC-7389 Services-Business Services, NEC"
ALKS,Alkermes Plc,NASDAQ,Medical - Biomedical,SIC-2834 Pharmaceutical Preparations
ALKT,Alkami Technology Inc,NASDAQ,Internet - Software,SIC-7372 Services-Prepackaged Software
ALLO,Allogene Therapeutics Inc,NASDAQ,Medical - Biomedical,"SIC-2836 Biological Products, (No Disgnostic Substanc"
ALNT,Allient Inc,NASDAQ,Electronics - Misc Components,SIC-3825 Instruments For Meas & Testing of Electricit
ALRM,Alarm.com,NASDAQ,Protection - Safety,SIC-7372 Services-Prepackaged Software
ALRS,Alerus Financial Corp,NASDAQ,Finance - Misc Services,SIC-6021 National Commercial Banks
ALT,Altimmune Inc,NASDAQ,Medical - Drugs,SIC-2834 Pharmaceutical Preparations
ALTG,Alta Equipment Group Inc,NYSE,Machinery - General Industrial,SIC-5084 Wholesale-Industrial Machinery & Equipment
ALTI,Alti Global Inc,NASDAQ,Finance - Misc Services,SIC-6282 Investment Advice
ALTM,Arcadium Lithium Plc,NYSE,Chemical - Specialty,SIC-2810 Industrial Inorganic Chemicals
ALTR,Altair Engineering Inc Cl A,NASDAQ,Engineering & R&D Services,SIC-7372 Services-Prepackaged Software
ALX,Alexander's Inc,NYSE,REIT - Equity Trust Other,SIC-6798 Real Estate Investment Trusts
ALXO,Alx Oncology Holdings Inc,NASDAQ,Medical - Biomedical,SIC-2834 Pharmaceutical Preparations
AMAL,Amalgamated Financial Corp,NASDAQ,Finance - SBIC & Commercial,SIC-6022 State Commercial Banks
AMBA,Ambarella Inc,NASDAQ,Electronics - Semiconductors,SIC-3674 Semiconductors & Related Devices
AMBC,Ambac Financial Group,NYSE,Insurance - Proprty & Casualty,SIC-6351 Surety Insurance
AMBP,Ardagh Metal Packaging S.A.,NYSE,Metal Production & Fabrication,SIC-3411 Metal Cans
AMC,AMC Entertainment Holdings,NYSE,Leisure & Recreation Services,SIC-7830 Services-Motion Picture Theaters
AMCX,AMC Networks Cl A,NASDAQ,Broadcast - Radio & TV,SIC-4841 Cable & Other Pay Television Services
AMN,Amn Healthcare Services Inc,NYSE,Medical Services,SIC-7363 Services-Help Supply Services
AMPH,Amphastar Pharma,NASDAQ,Medical - Generic Drugs,SIC-2834 Pharmaceutical Preparations
AMPL,Amplitude Inc Cl A,NASDAQ,Technology Services,SIC-7372 Services-Prepackaged Software
AMPS,Altus Power Inc,NYSE,Other Alt Energy,SIC-4911 Electric Services
AMPX,Amprius Technologies Inc,NYSE,Technology Services,N/A
AMPY,Amplify Energy Corp,NYSE,Oil - US Exploration & Product,SIC-1311 Crude Petroleum & Natural Gas
AMR,Alpha Metallurgical Resources Inc,NYSE,Mining - Misc,SIC-1221 Bituminous Coal & Lignite Mining
AMRC,Ameresco Inc,NYSE,Other Alt Energy,SIC-1700 Construction - Special Trade Contractors
AMRK,A-Mark Precious Meta,NASDAQ,Precious Metals & Jewelry,"SIC-5094 Wholesale-Jewelry, Watches, Precious Stones"
AMRX,Amneal Pharmaceuticals Inc,NASDAQ,Medical - Drugs,SIC-2834 Pharmaceutical Preparations
AMSC,Amer Superconductor,NASDAQ,Electronics - Misc Components,SIC-3621 Motors & Generators
AMSF,Amerisafe Inc,NASDAQ,Insurance - Accident & Health,"SIC-6331 Fire, Marine & Casualty Insurance"
AMSWA,Amer Software Inc,NASDAQ,Computer - Software,SIC-7372 Services-Prepackaged Software
AMTB,Mercantil Bank Holding Cl A,NYSE,Banks - Southeast,SIC-6021 National Commercial Banks
AMTX,Aemetis Inc,NASDAQ,Biofuels,SIC-2860 Industrial Organic Chemicals
AMWD,Amer Woodmark Corp,NASDAQ,Furniture,"SIC-2430 Millwood, Veneer, Plywood, & Structural Wood"
ANAB,Anaptysbio Inc,NASDAQ,Medical - Biomedical,SIC-2834 Pharmaceutical Preparations
ANDE,Andersons Inc,NASDAQ,Agriculture Products,SIC-5150 Wholesale-Farm Product Raw Materials
ANF,Abercrombie & Fitch Company,NYSE,Retail - Apparel & Shoes,SIC-5651 Retail-Family Clothing Stores
ANGO,Angiodynamics Inc,NASDAQ,Medical Instruments,SIC-3841 Surgical & Medical Instruments & Apparatus
ANIK,Anika Therapeutics,NASDAQ,Medical - Biomedical,SIC-3841 Surgical & Medical Instruments & Apparatus
ANIP,ANI Pharma Inc,NASDAQ,Medical - Biomedical,SIC-2834 Pharmaceutical Preparations
ANNX,Annexon Inc,NASDAQ,Medical - Biomedical,SIC-2834 Pharmaceutical Preparations
ANRO,Alto Neuroscience Inc,NYSE,Medical - Biomedical,SIC-2834 Pharmaceutical Preparations
AOMR,Angel Oak Mortgage REIT Inc,NYSE,Finance - Mortgage & Rel Svs,SIC-6500 Real Estate
AORT,Artivion Inc,NYSE,Medical Instruments,SIC-3841 Surgical & Medical Instruments & Apparatus
AOSL,Alpha and Omega Semi,NASDAQ,Electronics - Semiconductors,SIC-3674 Semiconductors & Related Devices
APAM,Artisan Partners Asset Mgmt,NYSE,Finance - Investment Mgmt,SIC-6282 Investment Advice
APEI,American Public Education,NASDAQ,Schools,SIC-8200 Services-Educational Services
APGE,Apogee Therapeutics Inc,NASDAQ,Medical - Biomedical,"SIC-2836 Biological Products, (No Disgnostic Substanc"
APLD,Applied Digital Corp,NASDAQ,Finance - Misc Services,SIC-7374 Services-Computer Processing & Data Preparat
APLE,Apple Hospitality REIT Inc,NYSE,REIT - Equity Trust Other,SIC-6798 Real Estate Investment Trusts
APLT,Applied Therapeutics Inc,NASDAQ,Medical - Biomedical,SIC-2834 Pharmaceutical Preparations
APOG,Apogee Entrpr Inc,NASDAQ,Glass Products,"SIC-3231 Glass Products, Made of Purchased Glass"
APPN,Appian Corp Cl A,NASDAQ,Internet - Software,SIC-7372 Services-Prepackaged Software
APPS,Digital Turbine,NASDAQ,Internet - Software,SIC-6794 Patent Owners & Lessors
AQST,Aquestive Therapeutics Inc,NASDAQ,Medical - Drugs,SIC-2834 Pharmaceutical Preparations
ARAY,Accuray Inc,NASDAQ,Medical Instruments,SIC-3841 Surgical & Medical Instruments & Apparatus
ARCB,Arcbest Corp,NASDAQ,Transportation - Truck,SIC-4213 Trucking (No Local)
ARCH,Arch Resources Inc,NYSE,Coal,SIC-1221 Bituminous Coal & Lignite Mining
ARCT,Arcturus Therapeutics Ltd,NASDAQ,Medical - Biomedical,SIC-2834 Pharmaceutical Preparations
ARDX,Ardelyx Inc,NASDAQ,Medical - Drugs,SIC-2834 Pharmaceutical Preparations
ARHS,Arhaus Inc Cl A,NASDAQ,Retail - Misc & Diversified,SIC-5712 Retail-Furniture Stores
ARI,Apollo Commercial Real Estate,NYSE,REIT - Mortgage Trusts,SIC-6798 Real Estate Investment Trusts
ARIS,Aris Water Solutions Inc Cl A,NYSE,Waste Removal Svcs,"SIC-1389 Oil & Gas Field Services, NEC"
ARKO,Arko Corp,NASDAQ,Consumer Prdts - Misc Staple,SIC-5412 Retail-Convenience Stores
ARL,American Realty Investors,NYSE,Real Estate Operations,SIC-6510 Real Estate Operators (No Developers) & Less
ARLO,Arlo Technologies Inc,NYSE,Internet - Software,SIC-3651 Household Audio & Video Equipment
AROC,Archrock Inc,NYSE,Oil - Field Services,SIC-4922 Natural Gas Transmission
AROW,Arrow Financial Corp,NASDAQ,Banks - Northeast,SIC-6021 National Commercial Banks
ARQ,Arq Inc,NASDAQ,Waste Removal Svcs,SIC-2890 Miscellaneous Chemical Products
ARQT,Arcutis Biotherapeutics Inc,NASDAQ,Medical - Biomedical,SIC-2834 Pharmaceutical Preparations
ARR,Armour Residential R,NYSE,REIT - Mortgage Trusts,SIC-6798 Real Estate Investment Trusts
ARRY,Array Technologies Inc,NASDAQ,Solar,SIC-3990 Miscellaneous Manufacturing Industries
ARVN,Arvinas Inc,NASDAQ,Medical - Biomedical,SIC-2834 Pharmaceutical Preparations
ARWR,Arrowhead Pharma,NASDAQ,Medical - Drugs,SIC-2834 Pharmaceutical Preparations
ASAN,Asana Inc Cl A,NYSE,Internet - Software,SIC-7372 Services-Prepackaged Software
ASB,Associated Banc-Corp,NYSE,Banks - Midwest,SIC-6022 State Commercial Banks
ASC,Ardmore Shipping Corp,NYSE,Transportation - Ship,SIC-4412 Deep Sea Foreign Transportation of Freight
ASGN,On Assignment,NYSE,IT Services,SIC-7363 Services-Help Supply Services
ASIX,Advansix Inc,NYSE,Chemical - Specialty,"SIC-2821 Plastic Materials, Synth Resins & Nonvulcan"
ASLE,Aersale Corp,NASDAQ,Aerospace - Defense Equipment,"SIC-5080 Wholesale-Machinery, Equipment & Supplies"
ASO,Academy Sports and Outdoors Inc,NASDAQ,Leisure & Recreational Prdcts,SIC-5940 Retail-Miscellaneous Shopping Goods Stores
ASPI,Asp Isotopes Inc,NASDAQ,Chemical - Diversified,SIC-2890 Miscellaneous Chemical Products
ASPN,Aspen Aerogels Inc,NYSE,Building & Construction - Misc,SIC-5030 Wholesale-Lumber & Other Construction Materi
ASTE,Astec Inds Inc,NASDAQ,Machinery - Construct & Mining,SIC-3531 Construction Machinery & Equip
ASTH,Astrana Health Inc,NASDAQ,Medical - Outpatient & Hm Care,SIC-8742 Services-Management Consulting Services
ASTS,Ast Spacemobile Inc,NASDAQ,Wireless Equipment,"SIC-4899 Communications Services, NEC"
ASUR,Asure Software,NASDAQ,Internet Services - Delivery,SIC-7373 Services-Computer Integrated Systems Design
ATEC,Alphatec Holdings,NASDAQ,Medical Instruments,SIC-3841 Surgical & Medical Instruments & Apparatus
ATEN,A10 Networks Inc,NYSE,Communication Network Software,SIC-3576 Computer Communications Equipment
ATEX,Anterix Inc.,NASDAQ,Communications Infrastructure,SIC-4813 Telephone Communications (No Radiotelephone)
ATGE,Adtalem Global Education Inc,NYSE,Schools,SIC-8200 Services-Educational Services
ATKR,Atkore Inc,NYSE,Wire & Cable Products,"SIC-3690 Miscellaneous Electrical Machinery, Equipmen"
ATLC,Atlanticus Holdings Corp,NASDAQ,Finance - Misc Services,SIC-6141 Personal Credit Institutions
ATLO,Ames Natl Corp,NASDAQ,Banks - Midwest,SIC-6021 National Commercial Banks
ATMU,Atmus Filtration Technologies Inc,NYSE,Pollution Controls,SIC-3714 Motor Vehicle Parts & Accessories
ATNI,Atn International,NASDAQ,Wireless National,SIC-4813 Telephone Communications (No Radiotelephone)
ATNM,Actinium Pharmaceuticals Inc,NYSE Arca,Medical - Drugs,SIC-2834 Pharmaceutical Preparations
ATOS,Atossa Therapeutics Inc,NASDAQ,Medical Instruments,SIC-2834 Pharmaceutical Preparations
ATRC,Atricure Inc,NASDAQ,Medical Products,SIC-3841 Surgical & Medical Instruments & Apparatus
ATRO,Astronics Corp,NASDAQ,Aerospace - Defense Equipment,"SIC-3728 Aircraft Parts & Auxiliary Equipment, NEC"
ATSG,Air Transport,NASDAQ,Transportation - Air Freight,SIC-4513 Air Courier Services
ATXS,Astri Therapeutics Inc,NASDAQ,Medical - Biomedical,SIC-2834 Pharmaceutical Preparations
AUB,Atlantic Union Bancshares Corp,NYSE,Banks - Northeast,SIC-6022 State Commercial Banks
