Symbol,Name,Exchange,Industry,SIC Description
AMG,Affiliated Managers Group,NYSE,Finance - Investment Mgmt,SIC-6282 Investment Advice
AMGN,Amgen Inc,NASDAQ,Medical - Biomedical,"SIC-2836 Biological Products, (No Disgnostic Substanc"
AMH,American Homes 4 Rent,NYSE,REIT - Equity Trust Resident,SIC-6798 Real Estate Investment Trusts
AMKR,Amkor Technology,NASDAQ,Electronics - Semiconductors,SIC-3674 Semiconductors & Related Devices
AMP,Ameriprise Financial Services,NYSE,Finance - Investment Mgmt,SIC-6282 Investment Advice
AMT,American Tower Corp,NYSE,REIT - Equity Trust Other,SIC-6798 Real Estate Investment Trusts
AMZN,Amazon.com Inc,NASDAQ,Internet Commerce,SIC-5961 Retail-Catalog & Mail-Order Houses
AN,Autonation Inc,NYSE,Retail - Wsale Auto & Trucks,SIC-5500 Retail-Auto Dealers & Gasoline Stations
ANET,Arista Networks Inc,NYSE,Communications Components,SIC-3576 Computer Communications Equipment
ANSS,Ansys Inc,NASDAQ,Computer - Software,SIC-7372 Services-Prepackaged Software
AON,AON Plc,NYSE,Insurance - Brokers,"SIC-6411 Insurance Agents, Brokers & Service"
AOS,Smith A.O. Corp,NYSE,Machinery - Electrical,SIC-3630 Household Appliances
APA,Apa Corp,NASDAQ,Oil - US Exploration & Product,SIC-1311 Crude Petroleum & Natural Gas
APD,Air Products and Chemicals,NYSE,Chemical - Diversified,SIC-2810 Industrial Inorganic Chemicals
APG,Api Group Corp,NYSE,Business Services,SIC-7340 Services-To Dwellings & Other Buildings
APH,Amphenol Corp,NYSE,Electronics - Connectors,SIC-3678 Electronic Connectors
APLS,Apellis Pharmaceuticals Inc,NASDAQ,Medical - Biomedical,SIC-2834 Pharmaceutical Preparations
APO,Apollo Asset Management Inc,NYSE,Finance - Investment Mgmt,SIC-6282 Investment Advice
APP,Applovin Corp Cl A,NASDAQ,Technology Services,"SIC-7370 Services-Computer Programming, Data Processi"
APPF,Appfolio Cl A,NASDAQ,Internet - Software,SIC-7372 Services-Prepackaged Software
APTV,Aptiv Plc,NYSE,Technology Services,SIC-3714 Motor Vehicle Parts & Accessories
AR,Antero Resources Corp,NYSE,Oil - US Exploration & Product,SIC-1311 Crude Petroleum & Natural Gas
ARE,Alexandria Real Estate Equities,NYSE,REIT - Equity Trust Other,SIC-6798 Real Estate Investment Trusts
ARES,Ares Management LP,NYSE,Finance - Investment Mgmt,SIC-6282 Investment Advice
ARMK,Aramark Holdings Corp,NYSE,Food - Misc & Diversified,SIC-5812 Retail-Eating Places
ARW,Arrow Electronics,NYSE,Electronics - Parts Distrib,"SIC-5065 Wholesale-Electronic Parts & Equipment, NEC"
AS,Amer Sports Inc,NYSE,Leisure & Recreational Prdcts,SIC-2300 Apparel & Other Finished Prods of Fabrics &
ASH,Ashland Inc,NYSE,Chemical - Specialty,SIC-5160 Wholesale-Chemicals & Allied Products
ATI,Ati Inc,NYSE,Steel - Specialty,SIC-3317 Steel Pipe & Tubes
ATO,Atmos Energy Corp,NYSE,Utility - Gas Distribution,SIC-4924 Natural Gas Distribution
ATR,Aptargroup,NYSE,Containers - Paper Products,"SIC-3089 Plastics Products, NEC"
AVB,Avalonbay Communities,NYSE,REIT - Equity Trust Resident,SIC-6798 Real Estate Investment Trusts
