Ticker,Name,Asset Class,Weight (%),Sector,Exchange
FOCS,FOCUS FINANCIAL PARTNERS INC CLASS,Equity,0,Financials,NASDAQ
LGIH,LGI HOMES INC,Equity,0,Consumer Discretionary,NASDAQ
HUD,HUDSON LTD CLASS A,Equity,0,Consumer Discretionary,New York Stock Exchange Inc.
BCRX,BIOCRYST PHARMACEUTICALS INC,Equity,0,Health Care,NASDAQ
CTRL,CONTROL4 CORP,Equity,0,Information Technology,NASDAQ
IBP,INSTALLED BUILDING PRODUCTS INC,Equity,0,Consumer Discretionary,New York Stock Exchange Inc.
NVAX,NOVAVAX INC,Equity,0,Health Care,NASDAQ
BATRK,LIBERTY MEDIA LIBERTY BRAVES CORP,Equity,0,Communication,NASDAQ
NYMT,NEW YORK MORTGAGE TRUST REIT INC T,Equity,0,Financials,NASDAQ
PFBC,PREFERRED BANK,Equity,0,Financials,NASDAQ
BGG,BRIGGS AND STRATTON CORP,Equity,0,Industrials,New York Stock Exchange Inc.
BANC,BANC OF CALIFORNIA INC,Equity,0,Financials,New York Stock Exchange Inc.
EXTN,EXTERRAN CORP,Equity,0,Energy,New York Stock Exchange Inc.
EGOV,NIC INC,Equity,0,Information Technology,NASDAQ
NVEE,NV5 GLOBAL INC,Equity,0,Industrials,NASDAQ
PJT,PJT PARTNERS INC CLASS A,Equity,0,Financials,New York Stock Exchange Inc.
ANAT,AMERICAN NATIONAL INSURANCE,Equity,0,Financials,NASDAQ
FWONA,LIBERTY MEDIA FORMULA ONE CORP SER,Equity,0,Communication,NASDAQ
WETF,WISDOMTREE INVESTMENTS INC,Equity,0,Financials,NASDAQ
ECPG,ENCORE CAPITAL GROUP INC,Equity,0,Financials,NASDAQ
HTLD,HEARTLAND EXPRESS INC,Equity,0,Industrials,NASDAQ
CDXS,CODEXIS INC,Equity,0,Health Care,NASDAQ
GCO,GENESCO INC,Equity,0,Consumer Discretionary,New York Stock Exchange Inc.
NTLA,INTELLIA THERAPEUTICS INC,Equity,0,Health Care,NASDAQ
XOXO,XO GROUP INC,Equity,0,Communication,New York Stock Exchange Inc.
WTI,W AND T OFFSHORE INC,Equity,0,Energy,New York Stock Exchange Inc.
GPMT,GRANITE POINT MORTGAGE TRUST INC T,Equity,0,Financials,New York Stock Exchange Inc.
MTW,MANITOWOC INC,Equity,0,Industrials,New York Stock Exchange Inc.
GTES,GATES INDUSTRIAL PLC,Equity,0,Industrials,New York Stock Exchange Inc.
ATKR,ATKORE INTERNATIONAL GROUP INC,Equity,0,Industrials,New York Stock Exchange Inc.
MRTX,MIRATI THERAPEUTICS INC,Equity,0,Health Care,NASDAQ
UFCS,UNITED FIRE GROUP INC,Equity,0,Financials,NASDAQ
PAHC,PHIBRO ANIMAL HEALTH CORP CLASS A,Equity,0,Health Care,NASDAQ
RVNC,REVANCE THERAPEUTICS INC,Equity,0,Health Care,NASDAQ
THR,THERMON GROUP HOLDINGS INC,Equity,0,Industrials,New York Stock Exchange Inc.
MYE,MYERS INDUSTRIES INC,Equity,0,Materials,New York Stock Exchange Inc.
TELL,TELLURIAN INC,Equity,0,Energy,NASDAQ
ALG,ALAMO GROUP INC,Equity,0,Industrials,New York Stock Exchange Inc.
BMTC,BRYN MAWR BANK CORP,Equity,0,Financials,NASDAQ
FRPT,FRESHPET INC,Equity,0,Consumer Staples,NASDAQ
GABC,GERMAN AMERICAN BANCORP INC,Equity,0,Financials,NASDAQ
EBSB,MERIDIAN BANCORP INC,Equity,0,Financials,NASDAQ
CDNA,CAREDX INC,Equity,0,Health Care,NASDAQ
FTR,FRONTIER COMMUNICATIONS CORP,Equity,0,Communication,NASDAQ
CPLG,COREPOINT LODGING INC,Equity,0,Real Estate,New York Stock Exchange Inc.
CASH,META FINANCIAL GROUP INC,Equity,0,Financials,NASDAQ
TAHO,TAHOE RESOURCES INC,Equity,0,Materials,New York Stock Exchange Inc.
ATNI,ATN INTERNATIONAL INC,Equity,0,Communication,NASDAQ
AOBC,AMERICAN OUTDOOR BRANDS CORP,Equity,0,Consumer Discretionary,NASDAQ
EGRX,EAGLE PHARMACEUTICALS INC,Equity,0,Health Care,NASDAQ
FOSL,FOSSIL GROUP INC,Equity,0,Consumer Discretionary,NASDAQ
NOG,NORTHERN OIL AND GAS INC,Equity,0,Energy,Nyse Mkt Llc
FSP,FRANKLIN STREET PROPERTIES REIT CO,Equity,0,Real Estate,Nyse Mkt Llc
ANGO,ANGIODYNAMICS INC,Equity,0,Health Care,NASDAQ
SP,SP PLUS CORP,Equity,0,Industrials,NASDAQ
