證券代碼,年,月,數值
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2017,06,2.6411
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2017,09,3.607
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2017,12,3.7141
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2018,03,3.4085
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2018,06,3.4193
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2018,09,2.2896
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2018,12,2.1239
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2019,03,2.0507
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2019,06,2.9906
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2019,09,3.4283
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2019,12,3.7012
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2020,03,2.8846
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2020,06,0.6161
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2020,09,4.441
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2020,12,5.3944
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2021,03,9.5657
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2021,06,8.0725
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2021,09,4.1506
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2021,12,5.1184
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2022,03,3.8395
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2022,06,3.4829
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2022,09,3.9847
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2022,12,-0.6841
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2023,03,-3.4879
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2023,06,1.4071
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2023,09,2.1479
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2023,12,4.8313
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2024,03,6.6333
